Date,Open,High,Low,Close,Adj Close,Volume
"Mar 19, 2025",231.61,241.41,229.2,235.86,235.86,"111,993,800"
"Mar 18, 2025",228.16,230.1,222.28,225.31,225.31,"111,477,600"
"Mar 17, 2025",245.06,245.4,232.8,238.01,238.01,"111,900,600"
"Mar 14, 2025",247.31,251.58,240.73,249.98,249.98,"100,242,300"
"Mar 13, 2025",248.13,248.29,232.6,240.68,240.68,"114,813,500"
"Mar 12, 2025",247.22,251.84,241.1,248.09,248.09,"142,215,700"
"Mar 11, 2025",225.31,237.06,217.02,230.58,230.58,"174,896,400"
"Mar 10, 2025",252.54,253.37,220,222.15,222.15,"189,076,900"
"Mar 7, 2025",259.32,266.25,250.73,262.67,262.67,"102,369,600"
"Mar 6, 2025",272.06,272.65,260.02,263.45,263.45,"98,451,600"
"Mar 5, 2025",272.92,279.55,267.71,279.1,279.1,"94,042,900"
"Mar 4, 2025",270.93,284.35,261.84,272.04,272.04,"126,706,600"
"Mar 3, 2025",300.34,303.94,277.3,284.65,284.65,"115,551,400"
"Feb 28, 2025",279.5,293.88,273.6,292.98,292.98,"115,697,000"
"Feb 27, 2025",291.16,297.23,280.88,281.95,281.95,"101,748,200"
"Feb 26, 2025",303.71,309,288.04,290.8,290.8,"100,118,300"
"Feb 25, 2025",327.02,328.89,297.25,302.8,302.8,"134,228,800"
"Feb 24, 2025",338.14,342.4,324.7,330.53,330.53,"76,052,300"
"Feb 21, 2025",353.44,354.98,334.42,337.8,337.8,"74,058,600"
"Feb 20, 2025",361.51,362.3,348,354.4,354.4,"45,965,400"
"Feb 19, 2025",354,367.34,353.67,360.56,360.56,"67,094,400"
"Feb 18, 2025",355.01,359.1,350.02,354.11,354.11,"51,631,700"
"Feb 14, 2025",360.62,362,347.5,355.84,355.84,"68,277,300"
"Feb 13, 2025",345,358.69,342.85,355.94,355.94,"89,441,500"
"Feb 12, 2025",329.94,346.4,329.12,336.51,336.51,"105,382,700"
"Feb 11, 2025",345.8,349.37,325.1,328.5,328.5,"118,543,400"
"Feb 10, 2025",356.21,362.7,350.51,350.73,350.73,"77,514,900"
"Feb 7, 2025",370.19,380.55,360.34,361.62,361.62,"70,298,300"
"Feb 6, 2025",373.03,375.4,363.18,374.32,374.32,"77,918,200"
"Feb 5, 2025",387.51,388.39,375.53,378.17,378.17,"57,223,300"
"Feb 4, 2025",382.63,394,381.4,392.21,392.21,"57,072,200"
"Feb 3, 2025",386.68,389.17,374.36,383.68,383.68,"93,732,100"
"Jan 31, 2025",401.53,419.99,401.34,404.6,404.6,"83,568,200"
"Jan 30, 2025",410.78,412.5,384.41,400.28,400.28,"98,092,900"
"Jan 29, 2025",395.21,398.59,384.48,389.1,389.1,"68,033,600"
"Jan 28, 2025",396.91,400.59,386.5,398.09,398.09,"48,910,700"
"Jan 27, 2025",394.8,406.69,389,397.15,397.15,"58,125,500"
"Jan 24, 2025",414.45,418.88,405.78,406.58,406.58,"56,427,100"
"Jan 23, 2025",416.06,420.73,408.95,412.38,412.38,"50,690,600"
"Jan 22, 2025",416.81,428,414.59,415.11,415.11,"60,963,300"
"Jan 21, 2025",432.64,433.2,406.31,424.07,424.07,"87,320,900"
"Jan 17, 2025",421.5,439.74,419.75,426.5,426.5,"94,991,400"
"Jan 16, 2025",423.49,424,409.13,413.82,413.82,"68,335,200"
"Jan 15, 2025",409.9,429.8,405.66,428.22,428.22,"81,375,500"
"Jan 14, 2025",414.34,422.64,394.54,396.36,396.36,"84,565,000"
"Jan 13, 2025",383.21,403.79,380.07,403.31,403.31,"67,580,500"
"Jan 10, 2025",391.4,399.28,377.29,394.74,394.74,"62,287,300"
"Jan 8, 2025",392.95,402.5,387.4,394.94,394.94,"73,038,800"
"Jan 7, 2025",405.83,414.33,390,394.36,394.36,"75,699,500"
"Jan 6, 2025",423.2,426.43,401.7,411.05,411.05,"85,516,500"
"Jan 3, 2025",381.48,411.88,379.45,410.44,410.44,"95,423,300"
"Jan 2, 2025",390.1,392.73,373.04,379.28,379.28,"109,710,700"